a	AW1
bagarin	P AW1 K AW1 R IY1 N
bagatur	P AW1 K AW1 T UW1 R
bagiyambi	P AW1 K JH AW1 M P IY1
bago	P AW1 K OW1
bagolai	P AW1 K OW1 L AW1 JH
bagvjai	P AW1 K AO1 JH AW1 JH
bagvl	P AW1 K AO1 L
bagvlak	P AW1 K AO1 L AW1 K
bagvnai	P AW1 K AO1 N AW1 JH
bah	P AW1 HH
baha	P AW1 HH AW1
bahab	P AW1 HH AW1 P
bahabi	P AW1 HH AW1 P IY1
bahabihe	P AW1 HH AW1 P IY1 HH AH1
bahabikai	P AW1 HH AW1 P IY1 K AW1 JH
bahabime	P AW1 HH AW1 P IY1 M AH1
bahabiu	P AW1 HH AW1 P IY1 W
bahabu	P AW1 HH AW1 P UW1
bahabufi	P AW1 HH AW1 P UW1 F IY1
bahabuha	P AW1 HH AW1 P UW1 HH AW1
bahabuhabi	P AW1 HH AW1 P UW1 HH AW1 P IY1
bahabuhakv	P AW1 HH AW1 P UW1 HH AW1 K AO1
bahabuhangge	P AW1 HH AW1 P UW1 HH AW1 NG NG AH1
bahabuki	P AW1 HH AW1 P UW1 K IY1
bahabukv	P AW1 HH AW1 P UW1 K AO1
bahabumbi	P AW1 HH AW1 P UW1 M P IY1
bahabumbini	P AW1 HH AW1 P UW1 M P IY1 N IY1
bahabume	P AW1 HH AW1 P UW1 M AH1
bahabuqi	P AW1 HH AW1 P UW1 K IY1
bahaburakv	P AW1 HH AW1 P UW1 R AW1 K AO1
bahaburangge	P AW1 HH AW1 P UW1 R AW1 NG NG AH1
bahabure	P AW1 HH AW1 P UW1 R AH1
bahaburengge	P AW1 HH AW1 P UW1 R AH1 NG NG AH1
bahabureu	P AW1 HH AW1 P UW1 R AH1 W
bahabureu'	P AW1 HH AW1 P UW1 R AH1 W
bahade	P AW1 HH AW1 T AH1
bahaden	P AW1 HH AW1 T AH1 N
bahafi	P AW1 HH AW1 F IY1
bahaha	P AW1 HH AW1 HH AW1
bahai	P AW1 HH AW1 JH
bahajimbi	P AW1 HH AW1 JH IY1 M P IY1
bahaki	P AW1 HH AW1 K IY1
bahakini	P AW1 HH AW1 K IY1 N IY1
bahakv	P AW1 HH AW1 K AO1
bahakvbi	P AW1 HH AW1 K AO1 P IY1
bahakvngge	P AW1 HH AW1 K AO1 NG NG AH1
bahakvqi	P AW1 HH AW1 K AO1 K IY1
bahambi	P AW1 HH AW1 M P IY1
bahambihe	P AW1 HH AW1 M P IY1 HH AH1
bahambihebi	P AW1 HH AW1 M P IY1 HH AH1 P IY1
bahambii	P AW1 HH AW1 M P IY1
bahambikai	P AW1 HH AW1 M P IY1 K AW1 JH
bahambime	P AW1 HH AW1 M P IY1 M AH1
bahambini	P AW1 HH AW1 M P IY1 N IY1
bahambiu	P AW1 HH AW1 M P IY1 W
bahame	P AW1 HH AW1 M AH1
bahan	P AW1 HH AW1 N
bahana	P AW1 HH AW1 N AW1
bahanafi	P AW1 HH AW1 N AW1 F IY1
bahanaha	P AW1 HH AW1 N AW1 HH AW1
bahanahabi	P AW1 HH AW1 N AW1 HH AW1 P IY1
bahanahakv	P AW1 HH AW1 N AW1 HH AW1 K AO1
bahanahakvbi	P AW1 HH AW1 N AW1 HH AW1 K AO1 P IY1
bahanahangge	P AW1 HH AW1 N AW1 HH AW1 NG NG AH1
bahanaho	P AW1 HH AW1 N AW1 HH OW1
bahanain	P AW1 HH AW1 N AW1 JH N
bahanambi	P AW1 HH AW1 N AW1 M P IY1
bahanambihe	P AW1 HH AW1 N AW1 M P IY1 HH AH1
bahanambihebi	P AW1 HH AW1 N AW1 M P IY1 HH AH1 P IY1
bahanambiheni	P AW1 HH AW1 N AW1 M P IY1 HH AH1 N IY1
bahanambikai	P AW1 HH AW1 N AW1 M P IY1 K AW1 JH
bahanambime	P AW1 HH AW1 N AW1 M P IY1 M AH1
bahanambini	P AW1 HH AW1 N AW1 M P IY1 N IY1
bahanambiu	P AW1 HH AW1 N AW1 M P IY1 W
bahaname	P AW1 HH AW1 N AW1 M AH1
bahanangge	P AW1 HH AW1 N AW1 NG NG AH1
bahanaqi	P AW1 HH AW1 N AW1 K IY1
bahanaqibe	P AW1 HH AW1 N AW1 K IY1 P AH1
bahanara	P AW1 HH AW1 N AW1 R AW1
bahanarai	P AW1 HH AW1 N AW1 R AW1 JH
bahanarakv	P AW1 HH AW1 N AW1 R AW1 K AO1
bahanarakvn	P AW1 HH AW1 N AW1 R AW1 K AO1 N
bahanarakvngge	P AW1 HH AW1 N AW1 R AW1 K AO1 NG NG AH1
bahanarakvqi	P AW1 HH AW1 N AW1 R AW1 K AO1 K IY1
bahanarangge	P AW1 HH AW1 N AW1 R AW1 NG NG AH1
bahanaraqi	P AW1 HH AW1 N AW1 R AW1 K IY1
bahanarkv	P AW1 HH AW1 N AW1 R K AO1
bahanasi	P AW1 HH AW1 N AW1 S IY1
bahanbure	P AW1 HH AW1 N P UW1 R AH1
bahanggala	P AW1 HH AW1 NG N AW1 L AW1
bahangge	P AW1 HH AW1 NG NG AH1
bahanjimbi	P AW1 HH AW1 N JH IY1 M P IY1
bahaqi	P AW1 HH AW1 K IY1
bahaqibe	P AW1 HH AW1 K IY1 P AH1
bahaqun	P AW1 HH AW1 CH UW1 N
bahara	P AW1 HH AW1 R AW1
baharabe	P AW1 HH AW1 R AW1 P AH1
baharahv	P AW1 HH AW1 R AW1 HH AO1
baharai	P AW1 HH AW1 R AW1 JH
baharakv	P AW1 HH AW1 R AW1 K AO1
baharakvn	P AW1 HH AW1 R AW1 K AO1 N
baharakvngge	P AW1 HH AW1 R AW1 K AO1 NG NG AH1
baharakvni	P AW1 HH AW1 R AW1 K AO1 N IY1
baharakvqi	P AW1 HH AW1 R AW1 K AO1 K IY1
baharakvqibe	P AW1 HH AW1 R AW1 K AO1 K IY1 P AH1
baharangge	P AW1 HH AW1 R AW1 NG NG AH1
baharau	P AW1 HH AW1 R AW1 W
bahareu	P AW1 HH AW1 R AH1 W
baharkv	P AW1 HH AW1 R K AO1
bahashvn	P AW1 HH AW1 S HH AO1 N
bahatala	P AW1 HH AW1 T AW1 L AW1
bahau	P AW1 HH AW1 W
bahe	P AW1 HH AH1
bahfi	P AW1 HH F IY1
bahi	P AW1 HH IY1
bahiha	P AW1 HH IY1 HH AW1
bahiya	P AW1 HH JH AW1
bahra	P AW1 HH R AW1
bahvi	P AW1 HH AO1 JH
bahvndai	P AW1 HH AO1 N T AW1 JH
bai	P AW1 JH
baibi	P AW1 JH P IY1
baibingge	P AW1 JH P IY1 NG NG AH1
baibu	P AW1 JH P UW1
baibufi	P AW1 JH P UW1 F IY1
baibuha	P AW1 JH P UW1 HH AW1
baibuhabi	P AW1 JH P UW1 HH AW1 P IY1
baibuhakv	P AW1 JH P UW1 HH AW1 K AO1
baibuki	P AW1 JH P UW1 K IY1
baibula	P AW1 JH P UW1 L AW1
baibulan	P AW1 JH P UW1 L AW1 N
baibumbi	P AW1 JH P UW1 M P IY1
baibume	P AW1 JH P UW1 M AH1
baibungga	P AW1 JH P UW1 NG N AW1
baibuqi	P AW1 JH P UW1 K IY1
baiburakv	P AW1 JH P UW1 R AW1 K AO1
baibure	P AW1 JH P UW1 R AH1
baiburengge	P AW1 JH P UW1 R AH1 NG NG AH1
baic'y	P AW1 JH T JH
baicara	P AW1 JH T AW1 R AW1
baida	P AW1 JH T AW1
baidal	P AW1 JH T AW1 L
baidalaki	P AW1 JH T AW1 L AW1 K IY1
baidalambi	P AW1 JH T AW1 L AW1 M P IY1
baidalara	P AW1 JH T AW1 L AW1 R AW1
baidangga	P AW1 JH T AW1 NG N AW1
baide	P AW1 JH T AH1
baiden	P AW1 JH T AH1 N
baidere	P AW1 JH T AH1 R AH1
baidu	P AW1 JH T UW1
baidula	P AW1 JH T UW1 L AW1
baidulai	P AW1 JH T UW1 L AW1 JH
baidumbi	P AW1 JH T UW1 M P IY1
baifi	P AW1 JH F IY1
baigai	P AW1 JH K AW1 JH
baigasun	P AW1 JH K AW1 S UW1 N
baigon	P AW1 JH K OW1 N
baiha	P AW1 JH HH AW1
baihabi	P AW1 JH HH AW1 P IY1
baihabikai	P AW1 JH HH AW1 P IY1 K AW1 JH
baihade	P AW1 JH HH AW1 T AH1
baihai	P AW1 JH HH AW1 JH
baihajiha	P AW1 JH HH AW1 JH IY1 HH AW1
baihajihabi	P AW1 JH HH AW1 JH IY1 HH AW1 P IY1
baihajimbi	P AW1 JH HH AW1 JH IY1 M P IY1
baihakv	P AW1 JH HH AW1 K AO1
baihal	P AW1 JH HH AW1 L
baihana	P AW1 JH HH AW1 N AW1
baihanabu	P AW1 JH HH AW1 N AW1 P UW1
baihanabufi	P AW1 JH HH AW1 N AW1 P UW1 F IY1
baihanabuha	P AW1 JH HH AW1 N AW1 P UW1 HH AW1
baihanabuhabi	P AW1 JH HH AW1 N AW1 P UW1 HH AW1 P IY1
baihanabuki	P AW1 JH HH AW1 N AW1 P UW1 K IY1
baihanabumbi	P AW1 JH HH AW1 N AW1 P UW1 M P IY1
baihanabume	P AW1 JH HH AW1 N AW1 P UW1 M AH1
baihanafi	P AW1 JH HH AW1 N AW1 F IY1
baihanaha	P AW1 JH HH AW1 N AW1 HH AW1
baihanahabe	P AW1 JH HH AW1 N AW1 HH AW1 P AH1
baihanahangge	P AW1 JH HH AW1 N AW1 HH AW1 NG NG AH1
baihanaki	P AW1 JH HH AW1 N AW1 K IY1
baihanambi	P AW1 JH HH AW1 N AW1 M P IY1
baihaname	P AW1 JH HH AW1 N AW1 M AH1
baihanaqi	P AW1 JH HH AW1 N AW1 K IY1
baihanara	P AW1 JH HH AW1 N AW1 R AW1
baihanarakv	P AW1 JH HH AW1 N AW1 R AW1 K AO1
baihangge	P AW1 JH HH AW1 NG NG AH1
baihanjibu	P AW1 JH HH AW1 N JH IY1 P UW1
baihanjiha	P AW1 JH HH AW1 N JH IY1 HH AW1
baihanjihabi	P AW1 JH HH AW1 N JH IY1 HH AW1 P IY1
baihanjimbi	P AW1 JH HH AW1 N JH IY1 M P IY1
baihanjiyaha	P AW1 JH HH AW1 N JH JH AW1 HH AW1
baihanjiyaqi	P AW1 JH HH AW1 N JH JH AW1 K IY1
baihv	P AW1 JH HH AO1
baihvdai	P AW1 JH HH AO1 T AW1 JH
baihvho	P AW1 JH HH AO1 HH OW1
baihvla	P AW1 JH HH AO1 L AW1
baihvlai	P AW1 JH HH AO1 L AW1 JH
baihvndai	P AW1 JH HH AO1 N T AW1 JH
baihvta	P AW1 JH HH AO1 T AW1
baii	P AW1 JH
baiibi	P AW1 JH P IY1
baijaha	P AW1 JH JH AW1 HH AW1
baijahakvngge	P AW1 JH JH AW1 HH AW1 K AO1 NG NG AH1
baijihangge	P AW1 JH JH IY1 HH AW1 NG NG AH1
baijire	P AW1 JH JH IY1 R AH1
baijuhv	P AW1 JH JH UW1 HH AO1
baijun	P AW1 JH JH UW1 N
baiki	P AW1 JH K IY1
baikini	P AW1 JH K IY1 N IY1
baikuwen	P AW1 JH K UW1 AH1 N
baikv	P AW1 JH K AO1
bailarakv	P AW1 JH L AW1 R AW1 K AO1
bailatabure	P AW1 JH L AW1 T AW1 P UW1 R AH1
bailataki	P AW1 JH L AW1 T AW1 K IY1
baili	P AW1 JH L IY1
bailingga	P AW1 JH L IY1 NG N AW1
bailisi	P AW1 JH L IY1 S IY1
bailongga	P AW1 JH L OW1 NG N AW1
baimbi	P AW1 JH M P IY1
baimbihe	P AW1 JH M P IY1 HH AH1
baimbihebi	P AW1 JH M P IY1 HH AH1 P IY1
baimbikai	P AW1 JH M P IY1 K AW1 JH
baimbime	P AW1 JH M P IY1 M AH1
baimbini	P AW1 JH M P IY1 N IY1
baimbiu	P AW1 JH M P IY1 W
baime	P AW1 JH M AH1
baimen	P AW1 JH M AH1 N
baimur	P AW1 JH M UW1 R
bainafi	P AW1 JH N AW1 F IY1
bainahara	P AW1 JH N AW1 HH AW1 R AW1
bainame	P AW1 JH N AW1 M AH1
baindai	P AW1 JH N T AW1 JH
baindari	P AW1 JH N T AW1 R IY1
baindumbi	P AW1 JH N T UW1 M P IY1
baindume	P AW1 JH N T UW1 M AH1
baindurengge	P AW1 JH N T UW1 R AH1 NG NG AH1
baingge	P AW1 JH NG NG AH1
bainggi	P AW1 JH NG NG IY1
bainggo	P AW1 JH NG N OW1
bainin	P AW1 JH N IY1 N
bainjara	P AW1 JH N JH AW1 R AW1
bainqari	P AW1 JH N CH AW1 R IY1
baintu	P AW1 JH N T UW1
bainumbi	P AW1 JH N UW1 M P IY1
bainume	P AW1 JH N UW1 M AH1
baiqa	P AW1 JH CH AW1
baiqabu	P AW1 JH CH AW1 P UW1
baiqabufi	P AW1 JH CH AW1 P UW1 F IY1
baiqabuki	P AW1 JH CH AW1 P UW1 K IY1
baiqabumbi	P AW1 JH CH AW1 P UW1 M P IY1
baiqabume	P AW1 JH CH AW1 P UW1 M AH1
baiqabuqi	P AW1 JH CH AW1 P UW1 K IY1
baiqabure	P AW1 JH CH AW1 P UW1 R AH1
baiqabureqi	P AW1 JH CH AW1 P UW1 R AH1 K IY1
baiqabureu	P AW1 JH CH AW1 P UW1 R AH1 W
baiqafi	P AW1 JH CH AW1 F IY1
baiqaha	P AW1 JH CH AW1 HH AW1
baiqahade	P AW1 JH CH AW1 HH AW1 T AH1
baiqahai	P AW1 JH CH AW1 HH AW1 JH
baiqahakv	P AW1 JH CH AW1 HH AW1 K AO1
baiqahakvngge	P AW1 JH CH AW1 HH AW1 K AO1 NG NG AH1
baiqaifi	P AW1 JH CH AW1 JH F IY1
baiqaiqi	P AW1 JH CH AW1 JH K IY1
baiqajiqi	P AW1 JH CH AW1 JH IY1 K IY1
baiqaki	P AW1 JH CH AW1 K IY1
baiqakv	P AW1 JH CH AW1 K AO1
baiqambi	P AW1 JH CH AW1 M P IY1
baiqame	P AW1 JH CH AW1 M AH1
baiqan	P AW1 JH CH AW1 N
baiqanabuha	P AW1 JH CH AW1 N AW1 P UW1 HH AW1
baiqanabumbi	P AW1 JH CH AW1 N AW1 P UW1 M P IY1
baiqanambi	P AW1 JH CH AW1 N AW1 M P IY1
baiqaname	P AW1 JH CH AW1 N AW1 M AH1
baiqanara	P AW1 JH CH AW1 N AW1 R AW1
baiqanarakv	P AW1 JH CH AW1 N AW1 R AW1 K AO1
baiqandumbi	P AW1 JH CH AW1 N T UW1 M P IY1
baiqanjiha	P AW1 JH CH AW1 N JH IY1 HH AW1
baiqanjimbi	P AW1 JH CH AW1 N JH IY1 M P IY1
baiqanumbi	P AW1 JH CH AW1 N UW1 M P IY1
baiqaqi	P AW1 JH CH AW1 K IY1
baiqaqina	P AW1 JH CH AW1 K IY1 N AW1
baiqaqini	P AW1 JH CH AW1 K IY1 N IY1
baiqara	P AW1 JH CH AW1 R AW1
baiqarade	P AW1 JH CH AW1 R AW1 T AH1
baiqarakv	P AW1 JH CH AW1 R AW1 K AO1
baiqarakvqi	P AW1 JH CH AW1 R AW1 K AO1 K IY1
baiqarangge	P AW1 JH CH AW1 R AW1 NG NG AH1
baiqareu	P AW1 JH CH AW1 R AH1 W
baiqasi	P AW1 JH CH AW1 S IY1
baiqi	P AW1 JH K IY1
baiqimbaha	P AW1 JH K IY1 M P AW1 HH AW1
baiqimbi	P AW1 JH K IY1 M P IY1
baiqime	P AW1 JH K IY1 M AH1
baiqina	P AW1 JH K IY1 N AW1
baiqinjiyara	P AW1 JH K IY1 N JH JH AW1 R AW1
baiqir	P AW1 JH K IY1 R
baiqire	P AW1 JH K IY1 R AH1
baiqirkv	P AW1 JH K IY1 R K AO1
baiqiyaha	P AW1 JH K JH AW1 HH AW1
baiquka	P AW1 JH CH UW1 K AW1
bairaku	P AW1 JH R AW1 K UW1
bairakv	P AW1 JH R AW1 K AO1
bairakvngge	P AW1 JH R AW1 K AO1 NG NG AH1
bairalara	P AW1 JH R AW1 L AW1 R AW1
bairambi	P AW1 JH R AW1 M P IY1
bairangge	P AW1 JH R AW1 NG NG AH1
bairara	P AW1 JH R AW1 R AW1
baire	P AW1 JH R AH1
bairede	P AW1 JH R AH1 T AH1
bairedeu	P AW1 JH R AH1 T AH1 W
bairengge	P AW1 JH R AH1 NG NG AH1
bairgiki	P AW1 JH R K IY1 K IY1
bairgimbi	P AW1 JH R K IY1 M P IY1
bairgime	P AW1 JH R K IY1 M AH1
bairginaha	P AW1 JH R K IY1 N AW1 HH AW1
bairhv	P AW1 JH R HH AO1
bairi	P AW1 JH R IY1
bairkv	P AW1 JH R K AO1
baisa	P AW1 JH S AW1
baisai	P AW1 JH S AW1 JH
baisan	P AW1 JH S AW1 N
baisang	P AW1 JH S AW1 NG
baisanggo	P AW1 JH S AW1 NG N OW1
baisanggv	P AW1 JH S AW1 NG N AO1
baise	P AW1 JH S AH1
baisgal	P AW1 JH S K AW1 L
baisha	P AW1 JH S HH AW1
baishal	P AW1 JH S HH AW1 L
baishan	P AW1 JH S HH AW1 N
baisin	P AW1 JH S IY1 N
baising	P AW1 JH S IY1 NG
baisu	P AW1 JH S UW1
baisu'	P AW1 JH S UW1
baisunggo	P AW1 JH S UW1 NG N OW1
bait	P AW1 JH T
baita	P AW1 JH T AW1
baitade	P AW1 JH T AW1 T AH1
baitafi	P AW1 JH T AW1 F IY1
baitaha	P AW1 JH T AW1 HH AW1
baitai	P AW1 JH T AW1 JH
baitakv	P AW1 JH T AW1 K AO1
baitakvngge	P AW1 JH T AW1 K AO1 NG NG AH1
baitala	P AW1 JH T AW1 L AW1
baitalabu	P AW1 JH T AW1 L AW1 P UW1
baitalabufi	P AW1 JH T AW1 L AW1 P UW1 F IY1
baitalabuha	P AW1 JH T AW1 L AW1 P UW1 HH AW1
baitalabuhabi	P AW1 JH T AW1 L AW1 P UW1 HH AW1 P IY1
baitalabuhakv	P AW1 JH T AW1 L AW1 P UW1 HH AW1 K AO1
baitalabuhangge	P AW1 JH T AW1 L AW1 P UW1 HH AW1 NG NG AH1
baitalabuki	P AW1 JH T AW1 L AW1 P UW1 K IY1
baitalabumbi	P AW1 JH T AW1 L AW1 P UW1 M P IY1
baitalabumbiu	P AW1 JH T AW1 L AW1 P UW1 M P IY1 W
baitalabume	P AW1 JH T AW1 L AW1 P UW1 M AH1
baitalabuqi	P AW1 JH T AW1 L AW1 P UW1 K IY1
baitalaburakv	P AW1 JH T AW1 L AW1 P UW1 R AW1 K AO1
baitalaburakvngge	P AW1 JH T AW1 L AW1 P UW1 R AW1 K AO1 NG NG AH1
baitalaburakvqi	P AW1 JH T AW1 L AW1 P UW1 R AW1 K AO1 K IY1
baitalabure	P AW1 JH T AW1 L AW1 P UW1 R AH1
baitalafi	P AW1 JH T AW1 L AW1 F IY1
baitalaha	P AW1 JH T AW1 L AW1 HH AW1
baitalahabi	P AW1 JH T AW1 L AW1 HH AW1 P IY1
baitalahabihe	P AW1 JH T AW1 L AW1 HH AW1 P IY1 HH AH1
baitalahabikai	P AW1 JH T AW1 L AW1 HH AW1 P IY1 K AW1 JH
baitalahadari	P AW1 JH T AW1 L AW1 HH AW1 T AW1 R IY1
baitalahai	P AW1 JH T AW1 L AW1 HH AW1 JH
baitalahakv	P AW1 JH T AW1 L AW1 HH AW1 K AO1
baitalahakvngge	P AW1 JH T AW1 L AW1 HH AW1 K AO1 NG NG AH1
baitalahangge	P AW1 JH T AW1 L AW1 HH AW1 NG NG AH1
baitalaki	P AW1 JH T AW1 L AW1 K IY1
baitalakini	P AW1 JH T AW1 L AW1 K IY1 N IY1
baitalambi	P AW1 JH T AW1 L AW1 M P IY1
baitalambihe	P AW1 JH T AW1 L AW1 M P IY1 HH AH1
baitalambikai	P AW1 JH T AW1 L AW1 M P IY1 K AW1 JH
baitalambime	P AW1 JH T AW1 L AW1 M P IY1 M AH1
baitalame	P AW1 JH T AW1 L AW1 M AH1
baitalan	P AW1 JH T AW1 L AW1 N
baitalanrangge	P AW1 JH T AW1 L AW1 N R AW1 NG NG AH1
baitalaqi	P AW1 JH T AW1 L AW1 K IY1
baitalaqibe	P AW1 JH T AW1 L AW1 K IY1 P AH1
baitalaqina	P AW1 JH T AW1 L AW1 K IY1 N AW1
baitalara	P AW1 JH T AW1 L AW1 R AW1
baitalarade	P AW1 JH T AW1 L AW1 R AW1 T AH1
baitalarakv	P AW1 JH T AW1 L AW1 R AW1 K AO1
baitalarakvngge	P AW1 JH T AW1 L AW1 R AW1 K AO1 NG NG AH1
baitalarangge	P AW1 JH T AW1 L AW1 R AW1 NG NG AH1
baitalaraqi	P AW1 JH T AW1 L AW1 R AW1 K IY1
baitalarau'	P AW1 JH T AW1 L AW1 R AW1 W
baitalarure	P AW1 JH T AW1 L AW1 R UW1 R AH1
baitalburebaitalabure	P AW1 JH T AW1 L P UW1 R AH1 P AW1 JH T AW1 L AW1 P UW1 R AH1
baitalere	P AW1 JH T AW1 L AH1 R AH1
baitalfi	P AW1 JH T AW1 L F IY1
baitalmabi	P AW1 JH T AW1 L M AW1 P IY1
baitalmbi	P AW1 JH T AW1 L M P IY1
baitambi	P AW1 JH T AW1 M P IY1
baitan	P AW1 JH T AW1 N
baitang	P AW1 JH T AW1 NG
baitangga	P AW1 JH T AW1 NG N AW1
baitanggangge	P AW1 JH T AW1 NG N AW1 NG NG AH1
baitaqiramen	P AW1 JH T AW1 K IY1 R AW1 M AH1 N
baitara	P AW1 JH T AW1 R AW1
baitasi	P AW1 JH T AW1 S IY1
baite	P AW1 JH T AH1
baitere	P AW1 JH T AH1 R AH1
baitme	P AW1 JH T M AH1
baitula	P AW1 JH T UW1 L AW1
baiwalara	P AW1 JH W AW1 L AW1 R AW1
baiyalahakv	P AW1 JH AW1 L AW1 HH AW1 K AO1
baizai	P AW1 JH D AW1 JH
baja	P AW1 JH AW1
bajar	P AW1 JH AW1 R
bajara	P AW1 JH AW1 R AW1
bajargi	P AW1 JH AW1 R K IY1
baji	P AW1 JH IY1
bajibuqi	P AW1 JH IY1 P UW1 K IY1
bajifi	P AW1 JH IY1 F IY1
bajiha	P AW1 JH IY1 HH AW1
bajihabi	P AW1 JH IY1 HH AW1 P IY1
bajihabihala	P AW1 JH IY1 HH AW1 P IY1 HH AW1 L AW1
bajihakv	P AW1 JH IY1 HH AW1 K AO1
bajihangge	P AW1 JH IY1 HH AW1 NG NG AH1
bajihe	P AW1 JH IY1 HH AH1
bajihi	P AW1 JH IY1 HH IY1
bajikan	P AW1 JH IY1 K AW1 N
bajila	P AW1 JH IY1 L AW1
bajilere	P AW1 JH IY1 L AH1 R AH1
bajima	P AW1 JH IY1 M AW1
bajimasahvn	P AW1 JH IY1 M AW1 S AW1 HH AO1 N
bajimbi	P AW1 JH IY1 M P IY1
bajinarakv	P AW1 JH IY1 N AW1 R AW1 K AO1
bajindai	P AW1 JH IY1 N T AW1 JH
bajiqi	P AW1 JH IY1 K IY1
bajirakv	P AW1 JH IY1 R AW1 K AO1
bajire	P AW1 JH IY1 R AH1
bajirengge	P AW1 JH IY1 R AH1 NG NG AH1
bajishvn	P AW1 JH IY1 S HH AO1 N
baju	P AW1 JH UW1
bajutai	P AW1 JH UW1 T AW1 JH
bak	P AW1 K
bakafi	P AW1 K AW1 F IY1
bakaki	P AW1 K AW1 K IY1
bakalji	P AW1 K AW1 L JH IY1
bakda	P AW1 K T AW1
bakdakabi	P AW1 K T AW1 K AW1 P IY1
bakdambure	P AW1 K T AW1 M P UW1 R AH1
bakdu	P AW1 K T UW1
bakeilame	P AW1 K AH1 JH L AW1 M AH1
bakein	P AW1 K AH1 JH N
bakileme	P AW1 K IY1 L AH1 M AH1
bakin	P AW1 K IY1 N
bakiran	P AW1 K IY1 R AW1 N
bakja	P AW1 K JH AW1
bakjabuha	P AW1 K JH AW1 P UW1 HH AW1
bakjabuhangge	P AW1 K JH AW1 P UW1 HH AW1 NG NG AH1
bakjabumbi	P AW1 K JH AW1 P UW1 M P IY1
bakjafi	P AW1 K JH AW1 F IY1
bakjaka	P AW1 K JH AW1 K AW1
bakjakangge	P AW1 K JH AW1 K AW1 NG NG AH1
bakjalame	P AW1 K JH AW1 L AW1 M AH1
bakjambi	P AW1 K JH AW1 M P IY1
bakjame	P AW1 K JH AW1 M AH1
bakjara	P AW1 K JH AW1 R AW1
bakjilame	P AW1 K JH IY1 L AW1 M AH1
bakoli	P AW1 K OW1 L IY1
bakqabufi	P AW1 K CH AW1 P UW1 F IY1
bakqaka	P AW1 K CH AW1 K AW1
bakqila	P AW1 K K IY1 L AW1
bakqilabufi	P AW1 K K IY1 L AW1 P UW1 F IY1
bakqilabuha	P AW1 K K IY1 L AW1 P UW1 HH AW1
bakqilabuki	P AW1 K K IY1 L AW1 P UW1 K IY1
bakqilabumbi	P AW1 K K IY1 L AW1 P UW1 M P IY1
bakqilabume	P AW1 K K IY1 L AW1 P UW1 M AH1
bakqilafi	P AW1 K K IY1 L AW1 F IY1
bakqilaha	P AW1 K K IY1 L AW1 HH AW1
bakqilahabi	P AW1 K K IY1 L AW1 HH AW1 P IY1
bakqilahakv	P AW1 K K IY1 L AW1 HH AW1 K AO1
bakqilahangge	P AW1 K K IY1 L AW1 HH AW1 NG NG AH1
bakqilaki	P AW1 K K IY1 L AW1 K IY1
bakqilama	P AW1 K K IY1 L AW1 M AW1
bakqilambi	P AW1 K K IY1 L AW1 M P IY1
bakqilame	P AW1 K K IY1 L AW1 M AH1
bakqilandufi	P AW1 K K IY1 L AW1 N T UW1 F IY1
bakqilaqi	P AW1 K K IY1 L AW1 K IY1
bakqilara	P AW1 K K IY1 L AW1 R AW1
bakqilarahv	P AW1 K K IY1 L AW1 R AW1 HH AO1
bakqilha	P AW1 K K IY1 L HH AW1
bakqilhabi	P AW1 K K IY1 L HH AW1 P IY1
bakqilhan	P AW1 K K IY1 L HH AW1 N
bakqin	P AW1 K K IY1 N
baksada	P AW1 K S AW1 T AW1
baksalabu	P AW1 K S AW1 L AW1 P UW1
baksalabumbi	P AW1 K S AW1 L AW1 P UW1 M P IY1
baksalafi	P AW1 K S AW1 L AW1 F IY1
baksalaha	P AW1 K S AW1 L AW1 HH AW1
baksalahai	P AW1 K S AW1 L AW1 HH AW1 JH
baksalambi	P AW1 K S AW1 L AW1 M P IY1
baksalame	P AW1 K S AW1 L AW1 M AH1
baksalara	P AW1 K S AW1 L AW1 R AW1
baksan	P AW1 K S AW1 N
baksanda	P AW1 K S AW1 N T AW1
baksangga	P AW1 K S AW1 NG N AW1
baksatu	P AW1 K S AW1 T UW1
baksi	P AW1 K S IY1
baksi'	P AW1 K S IY1
baksisai	P AW1 K S IY1 S AW1 JH
bakta	P AW1 K T AW1
baktabun	P AW1 K T AW1 P UW1 N
baktadara	P AW1 K T AW1 T AW1 R AW1
baktakabi	P AW1 K T AW1 K AW1 P IY1
baktakangge	P AW1 K T AW1 K AW1 NG NG AH1
baktaku	P AW1 K T AW1 K UW1
baktakv	P AW1 K T AW1 K AO1
baktambi	P AW1 K T AW1 M P IY1
baktambu	P AW1 K T AW1 M P UW1
baktambufi	P AW1 K T AW1 M P UW1 F IY1
baktambuhabi	P AW1 K T AW1 M P UW1 HH AW1 P IY1
baktambuhakv	P AW1 K T AW1 M P UW1 HH AW1 K AO1
baktambuhangge	P AW1 K T AW1 M P UW1 HH AW1 NG NG AH1
baktambumbi	P AW1 K T AW1 M P UW1 M P IY1
baktambume	P AW1 K T AW1 M P UW1 M AH1
baktambun	P AW1 K T AW1 M P UW1 N
baktambuqi	P AW1 K T AW1 M P UW1 K IY1
baktambuqibe	P AW1 K T AW1 M P UW1 K IY1 P AH1
baktamburakv	P AW1 K T AW1 M P UW1 R AW1 K AO1
baktamburakvngge	P AW1 K T AW1 M P UW1 R AW1 K AO1 NG NG AH1
baktamburakvqi	P AW1 K T AW1 M P UW1 R AW1 K AO1 K IY1
